date,UnmannedCombatAerialVehicles,NavalShips,AntiAircraftGuns,Radars,JammersAndDeceptionSystems,SelfPropelledAntiAircraftGuns,SelfPropelledAntiTankMissileSystems,MineResistantAmbushProtected,Aircraft,Helicopters,SurfaceToAirMissileSystems,ArtillerySupportVehiclesAndEquipment,TowedArtillery,ReconnaissanceUnmannedAerialVehicles,MultipleRocketLaunchers,InfantryMobilityVehicles,CommandPostsAndCommunicationsStations,EngineeringVehiclesAndEquipment,ArmouredPersonnelCarriers,SelfPropelledArtillery,ArmouredFightingVehicles,Tanks,InfantryFightingVehicles,TrucksVehiclesandJeeps
20220326,,3,2,2,6,9,,12,16,35,40,,41,,34,63,,55,76,56,217,298,289,592
20220327,,3,3,3,6,9,,12,16,36,40,,42,,35,63,,60,77,59,229,310,303,629
20220328,,3,3,3,6,9,,13,17,35,40,,42,,37,64,,61,79,59,232,318,307,640
20220329,,3,3,3,6,9,,13,17,35,40,,43,,37,66,,64,80,60,240,340,322,650
20220330,,3,3,3,6,9,,13,17,36,41,,46,,37,69,,65,81,63,243,347,325,650
20220331,,3,3,3,6,10,,14,17,35,41,,46,,39,70,,67,81,63,244,352,346,652
20220401,,3,3,4,6,11,,17,17,38,41,,47,,44,72,,70,81,65,263,388,374,667
20220402,,3,3,4,6,11,,17,17,38,41,,47,,44,73,,70,81,66,266,391,374,667
20220403,,3,3,4,6,11,,17,19,38,42,,48,,46,74,,73,84,75,279,410,399,694
20220404,,3,3,7,6,12,,19,20,38,43,,49,,47,77,,77,87,79,279,425,410,698
20220405,,3,3,7,6,12,,19,20,32,44,,50,,47,77,,80,87,79,279,427,446,714
20220406,,3,3,8,6,13,,20,20,32,49,,52,,49,81,,86,89,83,283,452,453,728
20220407,,3,4,9,7,13,,21,20,32,51,,52,,49,81,,86,90,83,284,448,465,750
20220408,,3,4,9,7,13,,21,20,32,51,,52,,49,81,,87,91,84,284,449,466,751
20220409,,3,4,9,7,13,,21,20,32,51,,53,,49,90,,92,95,90,289,456,485,779
20220410,,3,4,9,7,14,,21,20,32,51,,53,,48,90,61,99,96,93,255,467,489,787
20220411,,3,4,9,7,14,,21,20,32,51,,53,,48,91,61,101,96,95,256,476,497,787
20220412,,3,4,10,7,14,,22,20,32,51,,54,,51,90,62,102,96,95,258,488,503,789
20220413,,4,4,10,7,14,,22,20,32,52,,54,,54,91,62,105,97,96,263,505,520,823
20220414,,4,4,10,7,14,,22,20,32,52,,55,,54,91,63,105,97,97,264,507,520,826
20220415,,4,4,10,7,14,,23,21,33,52,,55,,54,91,63,105,97,97,263,507,520,826
20220416,,4,4,10,7,14,,23,21,33,52,,55,,54,93,63,106,97,97,278,505,521,827
20220417,,4,4,10,7,14,,23,21,34,52,,56,,54,93,63,108,97,97,303,510,523,832
20220418,,4,4,10,7,14,,23,22,35,52,,56,,55,94,63,109,101,97,306,519,532,834
20220419,,4,4,10,7,14,,23,22,35,52,,56,,55,96,63,109,101,97,306,519,532,834
20220420,,4,4,10,7,14,,24,22,35,53,,56,,55,95,63,110,101,97,311,525,557,841
20220421,,4,4,10,7,14,,24,24,37,53,,56,,58,95,63,111,101,97,314,531,561,856
20220422,,4,4,10,7,14,,24,24,37,53,,56,,58,95,63,111,101,97,314,531,561,856
20220423,,4,4,10,7,14,,25,24,36,53,,57,,58,99,65,114,102,99,315,543,576,857
20220424,,4,4,10,7,14,,25,24,36,53,,57,,59,99,65,114,102,100,318,551,591,857
20220425,,4,4,10,7,14,,25,24,37,53,,57,,59,100,66,118,103,101,318,562,610,861
20220426,,4,4,10,8,14,,25,26,38,53,,57,,59,100,67,118,103,101,320,571,613,862
20220427,,4,4,10,8,14,,25,26,38,53,,57,,59,101,67,118,103,101,321,579,619,867
20220428,,4,4,10,8,14,,25,26,38,53,,57,,59,101,67,119,103,101,321,584,621,867
20220429,,4,4,10,8,14,,25,26,38,54,,57,,62,101,67,119,103,101,322,587,622,870
20220430,,4,4,10,8,15,,25,26,39,54,,59,,63,101,71,121,103,102,319,595,648,878
20220501,,4,4,10,8,15,,25,26,39,54,,59,,63,101,71,121,103,102,322,606,651,878
20220502,,6,5,10,8,15,,25,26,39,55,,59,,64,102,71,121,105,102,324,600,652,884
20220503,,6,6,10,8,15,,25,26,39,56,,59,,64,102,72,122,107,102,327,600,661,894
20220504,,6,6,10,8,15,,25,26,39,56,,59,,62,102,72,123,108,103,341,605,667,907
20220505,,6,6,10,8,15,,25,26,39,56,,59,,62,102,73,123,108,103,349,608,675,915
20220506,,6,6,10,8,15,,25,26,40,57,,59,,62,102,73,123,108,103,351,625,686,916
20220507,,7,6,10,8,15,14,25,26,40,58,,59,,62,102,73,122,108,103,338,623,686,918
20220508,,9,6,10,8,15,14,25,26,41,58,,59,,62,103,73,129,108,105,342,633,694,919
20220509,,9,6,10,8,15,14,25,26,41,59,,59,,63,108,73,133,108,106,344,641,702,942
20220510,,9,6,10,8,15,14,25,26,41,59,,59,,63,108,73,133,108,107,345,645,704,942
20220511,,9,6,10,8,15,14,25,26,41,59,,60,,66,108,73,133,108,110,356,662,705,948
20220512,,9,6,10,8,15,14,25,26,41,59,,60,,66,108,73,133,108,110,356,662,705,948
20220513,,9,6,10,8,15,14,26,26,41,59,,61,,66,108,73,134,108,112,361,668,716,955
20220514,,9,6,10,8,15,14,26,26,41,59,,61,,66,109,74,136,108,112,365,669,721,957
20220515,,9,6,10,8,15,14,26,26,41,59,,61,,66,109,74,136,108,112,365,669,721,957
20220516,,9,6,10,8,15,14,26,26,41,59,,61,,66,109,74,136,108,112,365,669,721,957
20220517,,9,6,10,8,15,14,26,26,41,59,,61,,66,109,74,136,108,112,365,669,721,957
20220518,,9,6,10,8,15,14,26,26,41,59,,61,,66,109,74,136,108,112,365,669,721,957
20220519,,9,6,10,8,15,14,26,26,41,59,,61,,66,109,74,136,108,112,365,671,725,957
20220520,,9,6,10,8,15,14,26,26,42,62,,61,,66,109,75,136,108,112,368,682,730,958
